index,chemostat,treatment,block,round,gen,age.at.maturity,m.length,sac.area,egg.mean,egg.sd,bad.angle,eggs.damaged,fuzzy.eggs
1,17,h,5,2,0,,0.7182,0.0191,0.07354,0.008713667,,,
2,17,h,5,2,0,,0.6784,0.0103,0.05484,0.003474622,,,
3,17,h,5,2,0,,0.7388,0.0279,0.068542857,0.004868558,,,
4,17,h,5,2,0,,0.7231,0.0378,0.05934,0.005508821,,,
5,17,h,5,2,0,,0.723,0.0458,0.05905,0.008085412,,,
6,17,h,5,2,0,,0.7119,0.027,0.055477778,0.005303956,,,
7,17,h,5,2,0,,0.7211,0.0292,0.06035,0.006415161,,,
8,17,h,5,2,0,,0.6779,0.0379,0.063611111,0.007650563,,,
9,17,h,5,2,0,,0.7087,0.044,0.07185,0.003905674,,,
10,17,h,5,2,0,,0.7293,0.0293,0.065811111,0.004461066,,1,
11,19,l,5,2,0,,0.6051,0.0593,0.07061,0.006678065,1,1,
12,19,l,5,2,0,,0.5375,0.0481,0.0672,0.006551845,,,
13,19,l,5,2,0,,0.7487,0.052,0.0565,0.004223742,,,
14,19,l,5,2,0,,0.6752,0.0512,0.05955,0.006716522,1,,
15,19,l,5,2,0,,0.7116,0.0287,0.05107,0.005708483,,,
16,19,l,5,2,0,,0.737,0.0502,0.05494,0.005766416,,,
17,19,l,5,2,0,,0.701,0.0335,0.068,0.003864583,,,
18,19,l,5,2,0,,0.6525,0.0412,0.0694,0.005544567,,,
19,19,l,5,2,0,,0.6617,0.0439,0.059488889,0.008024719,,,
20,19,l,5,2,0,,0.7097,0.0548,0.06153,0.010582801,,,
21,4,h,1,2,0,,0.6373,0.0217,0.0554,0.005587844,,,
22,4,h,1,2,0,,0.6562,0.0286,0.062811111,0.006727266,,,
23,4,h,1,2,0,,0.6644,0.0318,0.05894,0.008932693,,,
24,4,h,1,2,0,,0.6713,0.0269,0.0698125,0.006818973,,,
25,4,h,1,2,0,,0.6584,0.0295,0.0623,0.005173283,,,
26,4,h,1,2,0,,0.6632,0.0266,0.06715,0.00252646,,,
27,4,h,1,2,0,,0.7348,0.0237,0.05474,0.00697517,,,
28,4,h,1,2,0,,0.6121,0.0304,0.06504,0.012812416,,,
29,4,h,1,2,0,,0.6811,0.0463,0.0741,0.006453681,1,,
30,4,h,1,2,0,,0.6053,0.0196,0.06126,0.003881752,,,
31,8,l,2,2,0,,0.6962,0.0195,0.055114286,0.007381154,,,
32,8,l,2,2,0,,0.6514,0.0152,0.064375,0.010960953,,,
33,8,l,2,2,0,,0.6745,0.017,0.0591,0.007108446,,,
34,8,l,2,2,0,,0.6984,0.0159,0.061025,0.003936475,,,
35,8,l,2,2,0,,0.7204,0.0296,0.0678875,0.007463901,,,
36,8,l,2,2,0,,0.6424,0.025,0.0651,0.002969848,,,
37,8,l,2,2,0,,0.6551,0.024,0.0569375,0.004800279,,,
38,8,l,2,2,0,,0.623,0.0268,0.061014286,0.002723618,1,,
39,8,l,2,2,0,,0.6278,0.0243,0.059022222,0.005222015,,,
40,8,l,2,2,0,,0.6804,0.0181,0.063633333,0.005900734,,,
41,8,l,2,2,0,,0.6374,0.015,0.0519,0.010092175,,,
42,10,l,3,1,0,,0.756,0.0439,0.05074,0.00201781,1,,
43,10,l,3,1,0,,0.6909,0.0474,0.06131,0.007511835,,,
44,10,l,3,1,0,,0.7575,0.0558,0.060177778,0.006210632,,,
45,10,l,3,1,0,,0.6886,0.0367,0.062277778,0.006707976,,,
46,10,l,3,1,0,,0.7472,0.0359,0.053633333,0.00276743,,,
47,10,l,3,1,0,,0.7509,0.045,0.060888889,0.005108435,1,,
48,10,l,3,1,0,,0.7024,0.0667,0.06821,0.007216101,,,
49,10,l,3,1,0,,0.7195,0.0534,0.05576,0.006091196,,,
50,10,l,3,1,0,,0.7269,0.0525,0.05599,0.005074435,1,,
51,10,l,3,1,0,,0.6985,0.0287,0.053588889,0.006142566,,,
52,11,h,3,1,0,,0.633,0.0196,0.0542,0.003362142,,,
53,11,h,3,1,0,,0.6371,0.0418,0.0705125,0.008349241,1,,
54,11,h,3,1,0,,0.7193,0.0374,0.06405,0.007594479,,,
55,11,h,3,1,0,,0.6785,0.021,0.061833333,0.018700089,,,
56,11,h,3,1,0,,0.6283,0.0377,0.049242857,0.003326588,,,
57,11,h,3,1,0,,0.6453,0.024,0.048366667,0.004253783,,,
58,11,h,3,1,0,,0.6929,0.0178,0.055925,0.002410221,,,
59,11,h,3,1,0,,0.6308,0.0231,0.0591,0.005626722,,,
60,11,h,3,1,0,,0.6214,0.0319,0.046977778,0.005817383,,,
61,11,h,3,1,0,,0.6984,0.0404,0.0564,0.006472163,1,,
62,12,h,3,1,0,,0.6872,0.0127,0.05665,0.007128581,,,
63,12,h,3,1,0,,0.6043,0.0153,0.0766,0.005356305,,,
64,12,h,3,1,0,,0.6213,0.0282,0.05775,0.004503015,,,
65,12,h,3,1,0,,0.6796,0.0295,0.067375,0.006875258,,,
66,12,h,3,1,0,,0.6674,0.0391,0.06061,0.008649785,,,
67,12,h,3,1,0,,0.7013,0.0204,0.0538875,0.00621414,,,
68,12,h,3,1,0,,0.5985,0.0548,0.06677,0.005947184,,,
69,12,h,3,1,0,,0.7158,0.0189,0.06225,0.00947961,,,
70,12,h,3,1,0,,0.6768,0.0287,0.058733333,0.005922204,,,
71,12,h,3,1,0,,0.7133,0.0447,0.06167,0.007771608,,,
72,13,h,4,1,0,,0.816,0.085,0.07113,0.006703573,,,
73,13,h,4,1,0,,0.8209,0.0529,0.05355,0.007189537,1,,
74,13,h,4,1,0,,0.7854,0.0413,0.05861,0.006060336,,,
75,13,h,4,1,0,,0.7444,0.0502,0.0633,0.005441813,1,,
76,13,h,4,1,0,,0.7314,0.0732,0.06711,0.005323418,,,
77,13,h,4,1,0,,0.7874,0.0315,0.06528,0.006621329,,,
78,13,h,4,1,0,,0.7489,0.039,0.05275,0.009540807,,,
79,13,h,4,1,0,,0.8415,0.0502,0.06111,0.007179051,,,
80,13,h,4,1,0,,0.7345,0.0466,0.05148,0.005021244,1,,
81,13,h,4,1,0,,0.7841,0.0653,0.06706,0.007155293,1,,
82,14,l,4,1,0,,0.6961,0.0177,0.05306,0.004087542,,,
83,14,l,4,1,0,,0.6821,0.0373,0.0621,0.005223239,,,
84,14,l,4,1,0,,0.6652,0.0111,0.06415,0.005846081,,,
85,14,l,4,1,0,,0.6414,0.0284,0.063614286,0.008646276,,,
86,14,l,4,1,0,,0.6689,0.023,0.058966667,0.006232442,,,
87,14,l,4,1,0,,0.6837,0.0516,0.06294,0.005377153,,,
88,14,l,4,1,0,,0.5971,0.013,0.0464,0.003893584,,,
89,14,l,4,1,0,,0.6748,0.0201,0.067766667,0.002706166,,,
90,14,l,4,1,0,,0.6375,0.0245,0.05812,0.005414518,,,
91,14,l,4,1,0,,0.6451,0.0166,0.0633,0.003944617,,,
92,15,h,4,1,0,,0.7211,0.0249,0.058911111,0.00382441,,,
93,15,h,4,1,0,,0.7388,0.0408,0.06572,0.004495875,,,
94,15,h,4,1,0,,0.6845,0.0221,0.059766667,0.003893927,,,
95,15,h,4,1,0,,0.6842,0.0213,0.068883333,0.011424958,,,
96,15,h,4,1,0,,0.6702,0.0269,0.05398,0.003579385,,,
97,15,h,4,1,0,,0.6657,0.0156,0.049766667,0.003271595,,,
98,15,h,4,1,0,,0.707,0.0433,0.054588889,0.005526627,,,
99,15,h,4,1,0,,0.6054,0.0347,0.055214286,0.007159941,1,,
100,15,h,4,1,0,,0.688,0.0197,0.0531,0.006681317,,,
101,15,h,4,1,0,,0.7242,0.0298,0.07175,0.01136587,,,
102,16,l,4,1,0,,0.6629,0.034,0.0641,0.007020288,,,
103,16,l,4,1,0,,0.6057,0.0242,0.051166667,0.006347493,,,
104,16,l,4,1,0,,0.655,0.0507,0.07251,0.003642481,1,,
105,16,l,4,1,0,,0.6424,0.043,0.05719,0.005633915,,,
106,16,l,4,1,0,,0.7311,0.0529,0.07164,0.006607941,,,
107,16,l,4,1,0,,0.6898,0.0285,0.06935,0.002646318,,,
108,16,l,4,1,0,,0.606,0.043,0.066742857,0.002535651,,,
109,16,l,4,1,0,,0.6226,0.0274,0.0799,0.010288181,,,
110,16,l,4,1,0,,0.7317,0.0615,0.07001,0.005621674,,,
111,16,l,4,1,0,,0.6182,0.0384,0.06695,0.004685735,1,,
112,17,h,5,1,0,,0.7005,0.0249,0.057457143,0.003964365,,1,
113,17,h,5,1,0,,0.71,0.0342,0.05644,0.004070545,,,
114,17,h,5,1,0,,0.7275,0.0333,0.057533333,0.01153996,,,
115,17,h,5,1,0,,0.654,0.0325,0.073016667,0.007421972,,,
116,17,h,5,1,0,,0.7011,0.0178,0.0689,0.004540925,,,
117,17,h,5,1,0,,0.6776,0.0205,0.06546,0.000694982,,,
118,17,h,5,1,0,,0.6464,0.0247,0.060111111,0.005271016,,,
119,17,h,5,1,0,,0.6406,0.0221,0.058042857,0.003920824,,,
120,17,h,5,1,0,,0.6291,0.0276,0.06355,0.005951386,,,
121,17,h,5,1,0,,0.678,0.0295,0.05777,0.007198156,,,
122,18,h,5,1,0,,0.6512,0.0489,0.070214286,0.006554751,,,
123,18,h,5,1,0,,0.6929,0.0694,0.0743875,0.007620356,,,
124,18,h,5,1,0,,0.6664,0.0353,0.051771429,0.005819998,,,1
125,18,h,5,1,0,,0.6464,0.0284,0.0469,0.003243455,,,
126,18,h,5,1,0,,0.723,0.0495,0.0689875,0.010149657,,,
127,18,h,5,1,0,,0.6198,0.028,0.04775,0.001950092,,,
128,18,h,5,1,0,,0.6786,0.05,0.067311111,0.007443528,,,
129,18,h,5,1,0,,0.6271,0.0217,0.051485714,0.003337378,,,
130,18,h,5,1,0,,0.6814,0.0642,0.062555556,0.004812253,,,
131,18,h,5,1,0,,0.7578,0.049,0.063622222,0.004262563,,,
132,19,l,5,1,0,,0.6672,0.0382,0.05786,0.006444843,,,
133,19,l,5,1,0,,0.6877,0.0432,0.0588375,0.003874067,,,
134,19,l,5,1,0,,0.6012,0.0278,0.057225,0.004292102,,,
135,19,l,5,1,0,,0.6642,0.0307,0.0378375,0.004869713,,,
136,19,l,5,1,0,,0.67,0.0306,0.068216667,0.008907394,,,
137,19,l,5,1,0,,0.6578,0.0146,0.055766667,0.001861003,,,
138,19,l,5,1,0,,0.7344,0.038,0.063125,0.005028987,,,
139,19,l,5,1,0,,0.6877,0.0171,0.05845,0.000919239,,,
140,19,l,5,1,0,,0.6353,0.0323,0.0645,0.003341856,,,
141,19,l,5,1,0,,0.7093,0.0269,0.04332,0.00254303,,,
142,1,h,1,1,0,,0.6709,0.0423,0.06734,0.004245049,1,,
143,1,h,1,1,0,,0.6376,0.0329,0.071375,0.001099621,,,
144,1,h,1,1,0,,0.7125,0.0487,0.065411111,0.005473446,,,
145,1,h,1,1,0,,0.6471,0.0376,0.06022,0.004686897,,,
146,1,h,1,1,0,,0.643,0.0242,0.059166667,0.008100288,,1,
147,1,h,1,1,0,,0.7246,0.0525,0.06081,0.006304399,,,
148,1,h,1,1,0,,0.6607,0.0502,0.0655375,0.003653936,,,
149,1,h,1,1,0,,0.6307,0.0173,0.04626,0.00450644,,,
150,1,h,1,1,0,,0.6877,0.0355,0.06389,0.006121084,,,
151,1,h,1,1,0,,0.6366,0.036,0.06144,0.00645053,1,,
152,20,l,5,1,0,,0.6745,0.073,0.06461,0.00683056,,,
153,20,l,5,1,0,,0.6761,0.054,0.06049,0.006852161,,,
154,20,l,5,1,0,,0.7437,0.0498,0.06692,0.00609477,,,
155,20,l,5,1,0,,0.7343,0.057,0.07018,0.006686936,,,
156,20,l,5,1,0,,0.6951,0.0433,0.05411,0.003670437,,,1
157,20,l,5,1,0,,0.7034,0.0453,0.05707,0.005682341,1,,1
158,20,l,5,1,0,,0.6824,0.0463,0.057488889,0.005882271,,,
159,20,l,5,1,0,,0.6994,0.0544,0.06154,0.007661912,1,,
160,20,l,5,1,0,,0.7195,0.0429,0.0609,0.0054111,,,
161,20,l,5,1,0,,0.6874,0.0315,0.0696,0.003190611,,,
162,2,l,1,1,0,,0.6345,0.0339,0.059185714,0.005031709,,,
163,2,l,1,1,0,,0.6577,0.0267,0.064855556,0.004369242,,,
164,2,l,1,1,0,,0.6193,0.0244,0.062,0.010182338,,,1
165,2,l,1,1,0,,0.6161,0.0263,0.06166,0.002649151,,1,
166,2,l,1,1,0,,0.6133,0.0231,0.0544375,0.004423295,,,
167,2,l,1,1,0,,0.6499,0.0334,0.06065,0.005855909,,,
168,2,l,1,1,0,,0.6763,0.0335,0.06556,0.004130698,,,
169,2,l,1,1,0,,0.6944,0.018,0.0628,0.002401388,,,
170,2,l,1,1,0,,0.6278,0.0279,0.061233333,0.007099765,,,
171,2,l,1,1,0,,0.6836,0.0264,0.060625,0.012316394,,,
172,4,h,1,1,0,,0.6688,0.026,0.054875,0.007525908,,,
173,4,h,1,1,0,,0.6905,0.0343,0.0619875,0.009036978,,,
174,4,h,1,1,0,,0.6927,0.0398,0.0696,0.008390471,,,
175,4,h,1,1,0,,0.6504,0.0292,0.07364,0.009501737,,,
176,4,h,1,1,0,,0.7299,0.0358,0.07226,0.018365811,,,
177,4,h,1,1,0,,0.6526,0.0232,0.048566667,0.005750072,,,1
178,4,h,1,1,0,,0.669,0.0563,0.06375,0.004433847,1,,
179,4,h,1,1,0,,0.7012,0.0242,0.054533333,0.006919718,,,
180,4,h,1,1,0,,0.6661,0.0321,0.06203,0.006175228,,,
181,4,h,1,1,0,,0.5791,0.0366,0.063433333,0.004647437,,,
182,5,h,2,1,0,,0.7287,0.047,0.04851,0.005152227,,,
183,5,h,2,1,0,,0.6551,0.0495,0.06772,0.003619638,,,
184,5,h,2,1,0,,0.6563,0.0117,0.043075,0.007062754,,,1
185,5,h,2,1,0,,0.7112,0.0743,0.06957,0.004651416,,,
186,5,h,2,1,0,,0.7361,0.0301,0.063244444,0.005188716,,,
187,5,h,2,1,0,,0.7365,0.0446,0.05525,0.005343376,,,
188,5,h,2,1,0,,0.6917,0.0278,0.039588889,0.003364686,,,
189,5,h,2,1,0,,0.6124,0.0125,0.042825,0.002877933,,,
190,5,h,2,1,0,,0.6322,0.0273,0.06305,0.009201708,,,
191,5,h,2,1,0,,0.7524,0.0548,0.06301,0.002891924,1,,
192,5,h,2,1,0,,0.6788,0.0208,0.064428571,0.00595531,,,
193,5,h,2,1,0,,0.6576,0.0211,0.059066667,0.006456831,,,
194,5,h,2,1,0,,0.676,0.0467,0.063533333,0.001926309,,,
195,5,h,2,1,0,,0.6738,0.0327,0.060957143,0.007885188,,,
196,5,h,2,1,0,,0.6447,0.0372,0.062985714,0.004558665,,,
197,5,h,2,1,0,,0.6857,0.0376,0.06737,0.004559252,,,
198,5,h,2,1,0,,0.6837,0.0706,0.06425,0.006345646,,,
199,5,h,2,1,0,,0.6549,0.0554,0.06789,0.007285671,,,
200,5,h,2,1,0,,0.6822,0.0378,0.05999,0.005477925,,,
201,5,h,2,1,0,,0.6953,0.0406,0.06369,0.005090612,,,
202,6,h,2,1,0,,0.7788,0.0439,0.070775,0.003390217,,,
203,6,h,2,1,0,,0.7777,0.0463,0.06644,0.004247143,,,
204,6,h,2,1,0,,0.7406,0.0495,0.05361,0.007163557,,,
205,6,h,2,1,0,,0.7301,0.0328,0.06589,0.006700655,,,
206,6,h,2,1,0,,0.6439,0.0582,0.06143,0.006421154,,,
207,6,h,2,1,0,,0.7287,0.0283,0.0532625,0.005258174,,,
208,6,h,2,1,0,,0.8335,0.0647,0.06773,0.006261177,1,,
209,6,h,2,1,0,,0.7485,0.059,0.05826,0.008246508,1,,
210,6,h,2,1,0,,0.7885,0.0504,0.05886,0.004584079,1,,
211,6,h,2,1,0,,0.7556,0.0483,0.0513,0.005415949,1,,1
212,7,l,2,1,0,,0.6378,0.0226,0.05868,0.008829043,,,
213,7,l,2,1,0,,0.7362,0.0472,0.06421,0.007166039,,,
214,7,l,2,1,0,,0.7394,0.0312,0.05808,0.008679196,,,
215,7,l,2,1,0,,0.6476,0.0464,0.05911,0.008273176,,,
216,7,l,2,1,0,,0.6634,0.0449,0.07329,0.004340622,,,
217,7,l,2,1,0,,0.6986,0.0558,0.07135,0.005738999,,,
218,7,l,2,1,0,,0.6426,0.0184,0.06284,0.009022915,,,
219,7,l,2,1,0,,0.7029,0.0343,0.06001,0.004858772,,,
220,7,l,2,1,0,,0.6413,0.0526,0.072411111,0.007309659,,,
221,7,l,2,1,0,,0.6975,0.0378,0.05211,0.003654054,,,
222,8,l,2,1,0,,0.6521,0.0402,0.063755556,0.01039316,,,
223,8,l,2,1,0,,0.6982,0.0313,0.07814,0.006639503,,,
224,8,l,2,1,0,,0.7379,0.0306,0.059966667,0.006600202,,,
225,8,l,2,1,0,,0.7012,0.0252,0.064755556,0.00772789,,,
226,8,l,2,1,0,,0.6594,0.036,0.070622222,0.005051677,,,
227,8,l,2,1,0,,0.6687,0.0275,0.04457,0.004721593,,,1
228,8,l,2,1,0,,0.5986,0.0275,0.06189,0.00393459,,,
229,8,l,2,1,0,,0.7184,0.0223,0.06648,0.003042532,,,
230,8,l,2,1,0,,0.6821,0.0425,0.07682,0.006812635,,,
231,8,l,2,1,0,,0.6799,0.0408,0.0537,0.00719143,,,1
232,9,l,3,1,0,,0.6502,0.0206,0.057888889,0.004327657,,,
233,9,l,3,1,0,,0.6613,0.0193,0.05715,0.003116889,,,
234,9,l,3,1,0,,0.6654,0.0257,0.066477778,0.00807183,,,
235,9,l,3,1,0,,0.6569,0.029,0.061325,0.006026074,,,
236,9,l,3,1,0,,0.6579,0.0326,0.055622222,0.003753591,,,
237,9,l,3,1,0,,0.6547,0.0362,0.06099,0.004270168,,,
238,9,l,3,1,0,,0.6153,0.0311,0.071966667,0.005074117,,,
239,9,l,3,1,0,,0.6321,0.0216,0.06534,0.005621655,,,
240,9,l,3,1,0,,0.5821,0.0204,0.063233333,0.003653856,,1,
241,9,l,3,1,0,,0.6437,0.0423,0.06169,0.004151158,,,
1,7,l,2,1,1,13,0.8274,0.0701,0.04978,0.00590401,,,
2,11,h,3,1,1,14,0.8063,0.071,0.05708,0.007217694,,,
3,2,l,1,1,1,14,0.8263,0.0813,0.05521,0.004280823,,,
4,6,h,2,1,1,14,0.8278,0.0707,0.06006,0.004921653,,,
5,9,l,3,1,1,14,0.8104,0.0654,0.050488889,0.005657173,,,
6,9,l,3,1,1,14,0.777,0.0511,0.04302,0.005136319,,,
7,9,l,3,1,1,14,0.7878,0.0595,0.05232,0.00423656,,,
8,9,l,3,1,1,14,0.8087,0.0757,0.06079,0.006518086,,,
9,10,l,3,1,1,15,0.7969,0.0491,0.0626,0.007196604,,,
10,10,l,3,1,1,15,0.8137,0.0593,0.06181,0.005235021,,,
11,10,l,3,1,1,15,0.7946,0.0707,0.05386,0.005196195,,,
12,10,l,3,1,1,15,0.8819,0.0651,0.0593,0.005365942,,,
13,10,l,3,1,1,15,0.8586,0.0562,0.05745,0.004484851,,,
14,12,h,3,1,1,15,0.8356,0.0609,0.05711,0.003690363,,,
15,18,h,5,1,1,14,0.8716,0.0904,0.06087,0.004590582,,,
16,18,h,5,1,1,14,0.8057,0.0701,0.05275,0.002876051,,,
17,18,h,5,1,1,14,0.8746,0.1035,0.06074,0.002539991,,1,
18,18,h,5,1,1,14,0.8861,0.0807,0.06257,0.007200779,,,
19,18,h,5,1,1,14,0.8916,0.0927,0.06131,0.005547262,,,
20,1,h,1,1,1,15,0.857,0.0705,0.05638,0.006314322,,,
21,20,l,5,1,1,14,0.8796,0.0822,0.05383,0.006462722,,,
22,2,l,1,1,1,15,0.7839,0.0552,0.05298,0.004329947,,,
23,8,l,2,1,1,15,0.7807,0.0656,0.06208,0.004194123,,,
24,10,l,3,1,1,16,0.8086,0.0648,0.06554,0.00383846,,,
25,10,l,3,1,1,16,0.8064,0.0692,0.05982,0.005174682,,,
26,10,l,3,1,1,16,0.7503,0.0712,0.0721,0.006958288,,,
27,10,l,3,1,1,16,0.825,0.0602,0.06448,0.004368524,,,
28,10,l,3,1,1,16,0.7728,0.0603,0.06149,0.006603105,,,
29,10,l,3,1,1,16,0.7882,0.061,0.06367,0.006217189,,,
30,10,l,3,1,1,16,0.7849,0.0619,0.06455,0.003893085,,,
31,10,l,3,1,1,16,0.7813,0.0518,0.0666,0.009920853,,,
32,10,l,3,1,1,16,0.8393,0.0673,0.06665,0.006440195,,,
33,11,h,3,1,1,16,0.823,0.0462,0.05474,0.006921175,,,
34,11,h,3,1,1,16,0.7974,0.0663,0.05751,0.006105999,,,
35,12,h,3,1,1,16,0.8219,0.0698,0.06311,0.005128667,,,
36,12,h,3,1,1,16,0.8204,0.0598,0.06645,0.005462854,,,
37,12,h,3,1,1,16,0.7924,0.0609,0.05664,0.004139834,,,
